Basis,Org_Code,Parent_Org,Org_Name,Standard_or_Item,Cancer_Type,Referral_Route_or_Stage,Treatment_Modality,Total,Within,After,Performance,Within_14_days,In_15_to_28_days,In_29_to_42_days,In_43_to_62_days,After_62_days,Within_31_days,In_32_to_38_days,In_39_to_48_days,In_49_to_62_days,In_63_to_76_days,In_77_to_90_days,In_91_to_104_days,After_104_days,In_15_to_16_days,In_17_to_21_days,In_22_to_28_days,After_28_days
Provider,Total,England,Total,FDS,ALL CANCERS,ALL ROUTES,,271346,205972,65374,0.759075129,114380,91592,35651,18986,10737,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,ALL ROUTES,,9025,7707,1318,0.853961219,4016,3691,944,281,93,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Missing or Invalid,ALL ROUTES,,79,46,33,0.582278481,24,22,18,9,6,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected acute leukaemia,ALL ROUTES,,27,19,8,0.703703704,15,4,4,3,1,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected brain/central nervous system tumours,ALL ROUTES,,982,838,144,0.853360489,510,328,101,37,6,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected breast cancer,ALL ROUTES,,48230,40472,7758,0.83914576,21001,19471,5540,1677,541,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected cancer - non-specific symptoms,ALL ROUTES,,4146,2905,1241,0.70067535,1017,1888,676,386,179,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected children's cancer,ALL ROUTES,,966,863,103,0.893374741,615,248,62,28,13,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected gynaecological cancer,ALL ROUTES,,25883,17454,8429,0.674342232,8838,8616,4503,2596,1330,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected haematological malignancies (excluding acute leukaemia),ALL ROUTES,,1678,1026,652,0.611442193,585,441,300,240,112,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected head & neck cancer,ALL ROUTES,,26901,20382,6519,0.757667001,13400,6982,3415,1976,1128,,,,,,,,,,,,
Provider,Total,England,Total,FDS,Suspected lower gastrointestinal cancer,ALL ROUTES,,45532,29118,16414,0.639506281,11626,17492,8745,4998,2671,,,,,,,,,,,,
