"Basis","Org_Code","Parent_Org","Org_Name","Standard_or_Item","Cancer_Type","Referral_Route_or_Stage","Treatment_Modality","Total","Within","After","Performance","Within_14_days","In_15_to_28_days","In_29_to_42_days","In_43_to_62_days","After_62_days","Within_31_days","In_32_to_38_days","In_39_to_48_days","In_49_to_62_days","In_63_to_76_days","In_77_to_90_days","In_91_to_104_days","After_104_days","In_15_to_16_days","In_17_to_21_days","In_22_to_28_days","After_28_days"
"Provider","Total","England","Total","FDS","ALL CANCERS","ALL ROUTES",,263556,208128,55428,0.789691,119080,89048,27201,17224,11003,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected lung cancer","ALL ROUTES",,5896,4715,1181,0.799694,2938,1777,529,351,301,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected breast cancer","ALL ROUTES",,46846,40932,5914,0.873756,22878,18054,3849,1452,613,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected other cancer","ALL ROUTES",,196,151,45,0.770408,67,84,29,9,7,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected upper gastrointestinal cancer","ALL ROUTES",,18141,14373,3768,0.792293,8755,5618,1963,1135,670,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected head & neck cancer","ALL ROUTES",,25653,19982,5671,0.778934,13377,6605,2667,1801,1203,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected skin cancer","ALL ROUTES",,60424,53363,7061,0.883142,34708,18655,3354,2222,1485,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected cancer - non-specific symptoms","ALL ROUTES",,4012,2953,1059,0.736041,1064,1889,544,363,152,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected sarcoma","ALL ROUTES",,1196,879,317,0.734949,450,429,136,95,86,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected lower gastrointestinal cancer","ALL ROUTES",,43423,29504,13919,0.679455,12460,17044,6735,4317,2867,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Missing or Invalid","ALL ROUTES",,56,32,24,0.571428,15,17,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected urological malignancies (excluding testicular)","ALL ROUTES",,19722,12858,6864,0.651962,6988,5870,2666,2345,1853,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected gynaecological cancer","ALL ROUTES",,25234,17471,7763,0.692359,8833,8638,3763,2542,1458,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected brain/central nervous system tumours","ALL ROUTES",,892,800,92,0.89686,505,295,48,36,8,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected testicular cancer","ALL ROUTES",,804,683,121,0.849502,456,227,75,28,18,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","ALL ROUTES",,8330,7436,894,0.892677,4291,3145,519,260,115,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected children's cancer","ALL ROUTES",,1053,956,97,0.907882,687,269,52,30,15,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected haematological malignancies (excluding acute leukaemia)","ALL ROUTES",,1646,1015,631,0.616646,594,421,261,232,138,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected acute leukaemia","ALL ROUTES",,32,25,7,0.78125,14,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Exhibited (non-cancer) breast symptoms - cancer not initially suspected","BREAST SYMPTOMATIC, CANCER NOT SUSPECTED",,8330,7436,894,0.892677,4291,3145,519,260,115,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected breast cancer","NATIONAL SCREENING PROGRAMME",,4599,3593,1006,0.781256,1773,1820,574,288,144,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected lung cancer","NATIONAL SCREENING PROGRAMME",,1021,660,361,0.646425,359,301,151,105,105,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected gynaecological cancer","NATIONAL SCREENING PROGRAMME",,1193,875,318,0.733445,530,345,140,97,81,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Missing or Invalid","NATIONAL SCREENING PROGRAMME",,56,32,24,0.571428,15,17,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected lower gastrointestinal cancer","NATIONAL SCREENING PROGRAMME",,6060,3676,2384,0.6066,873,2803,1277,684,423,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected other cancer","URGENT SUSPECTED CANCER",,196,151,45,0.770408,67,84,29,9,7,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected lower gastrointestinal cancer","URGENT SUSPECTED CANCER",,37363,25828,11535,0.691272,11587,14241,5458,3633,2444,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected acute leukaemia","URGENT SUSPECTED CANCER",,32,25,7,0.78125,14,11,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected children's cancer","URGENT SUSPECTED CANCER",,1053,956,97,0.907882,687,269,52,30,15,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected head & neck cancer","URGENT SUSPECTED CANCER",,25653,19982,5671,0.778934,13377,6605,2667,1801,1203,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected lung cancer","URGENT SUSPECTED CANCER",,4875,4055,820,0.831794,2579,1476,378,246,196,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected breast cancer","URGENT SUSPECTED CANCER",,42247,37339,4908,0.883826,21105,16234,3275,1164,469,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected brain/central nervous system tumours","URGENT SUSPECTED CANCER",,892,800,92,0.89686,505,295,48,36,8,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected skin cancer","URGENT SUSPECTED CANCER",,60424,53363,7061,0.883142,34708,18655,3354,2222,1485,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected sarcoma","URGENT SUSPECTED CANCER",,1196,879,317,0.734949,450,429,136,95,86,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected cancer - non-specific symptoms","URGENT SUSPECTED CANCER",,4012,2953,1059,0.736041,1064,1889,544,363,152,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected haematological malignancies (excluding acute leukaemia)","URGENT SUSPECTED CANCER",,1646,1015,631,0.616646,594,421,261,232,138,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected testicular cancer","URGENT SUSPECTED CANCER",,804,683,121,0.849502,456,227,75,28,18,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected urological malignancies (excluding testicular)","URGENT SUSPECTED CANCER",,19722,12858,6864,0.651962,6988,5870,2666,2345,1853,0,0,0,0,0,0,0,0,0,0,0,0
"Provider","Total","England","Total","FDS","Suspected gynaecological cancer","URGENT SUSPECTED CANCER",,24041,16596,7445,0.69032,8303,8293,3623,2445,1377,0,0,0,0,0,0,0,0,0,0,0,0
