Organisation_Code,Specialty,Number_Of_Beds,Effective_Snapshot_Date
REP,130,0,30/09/2019
RWX,141,0,30/09/2019
R1K,143,0,30/09/2019
RXL,140,1.358696,30/09/2019
RR7,141,0,30/09/2019
RXW,143,0,30/09/2019
RA2,140,0.021739,30/09/2019
RLT,142,0,30/09/2019
RET,130,0,30/09/2019
RX2,141,0,30/09/2019
RAL,143,0,30/09/2019
RXN,140,2.195652,30/09/2019
RR8,141,0.467391,30/09/2019
RY5,143,0,30/09/2019
RDR,140,0,30/09/2019
RLY,142,0,30/09/2019
RJN,130,11.076087,30/09/2019
RXC,141,0,30/09/2019
RAN,143,0,30/09/2019
RXR,140,13.521739,30/09/2019
RTD,141,0,30/09/2019
RY8,143,0,30/09/2019
RDU,140,0,30/09/2019
RNA,142,0,30/09/2019
RJR,130,5.391304,30/09/2019
RXH,141,0,30/09/2019
RAP,143,0,30/09/2019
R0B,140,0,30/09/2019
RTF,141,0.445652,30/09/2019
RYG,143,0,30/09/2019
RHM,140,1.26087,30/09/2019
RNQ,142,0,30/09/2019
RM3,130,0,30/09/2019
RXQ,141,0,30/09/2019
RAS,143,0,30/09/2019
RAE,140,0.695652,30/09/2019
RTR,141,0,30/09/2019
RYK,143,0,30/09/2019
RHU,140,6.402174,30/09/2019
RNS,142,0,30/09/2019
RMC,130,6.228261,30/09/2019
RXX,141,0,30/09/2019
RAT,143,0,30/09/2019
RCB,140,5.032609,30/09/2019
RV9,141,0,30/09/2019
RYW,143,0.836957,30/09/2019
RHW,140,1.597826,30/09/2019
RP1,142,0,30/09/2019
RMP,130,1.043478,30/09/2019
RXY,141,0,30/09/2019
RAX,143,0,30/09/2019
RCD,140,0,30/09/2019
RVW,141,0,30/09/2019
TAJ,143,0,30/09/2019
RN5,140,0.130435,30/09/2019
RP7,142,0,30/09/2019
RQ6,130,22.76087,30/09/2019
RYR,141,0,30/09/2019
RF4,143,0,30/09/2019
RCF,140,0.380435,30/09/2019
RWA,141,0,30/09/2019
R1L,143,0,30/09/2019
RN7,140,0,30/09/2019
RQ3,142,0.25,30/09/2019
RRF,130,3.967391,30/09/2019
R1A,141,0,30/09/2019
RJ1,143,0,30/09/2019
RCU,140,0.315217,30/09/2019
RWY,141,0,30/09/2019
RAJ,143,0,30/09/2019
RNU,140,0,30/09/2019
RRE,142,0,30/09/2019
RT2,130,0,30/09/2019
RBK,141,0,30/09/2019
RJ2,143,0,30/09/2019
RFF,140,2.478261,30/09/2019
RX3,141,0,30/09/2019
RC1,143,0,30/09/2019
RPA,140,0,30/09/2019
RRJ,142,0,30/09/2019
RTV,130,0,30/09/2019
RFS,141,0,30/09/2019
RJ6,143,0,30/09/2019
RFR,140,7.847826,30/09/2019
RX4,141,0,30/09/2019
RC9,143,0,30/09/2019
RPC,140,0,30/09/2019
RRK,142,0,30/09/2019
RTX,130,10.673913,30/09/2019
RHA,141,0,30/09/2019
RJ7,143,0.021739,30/09/2019
RGD,140,0,30/09/2019
RXE,141,0,30/09/2019
RCX,143,0,30/09/2019
RTH,140,0,30/09/2019
RTG,142,0,30/09/2019
RVY,130,4.48913,30/09/2019
RJC,141,0,30/09/2019
RJZ,143,0,30/09/2019
RHQ,140,4.978261,30/09/2019
RXF,141,0,30/09/2019
RD8,143,0,30/09/2019
RTK,140,0,30/09/2019
RWD,142,0,30/09/2019
RW4,130,0,30/09/2019
RJE,141,0.01087,30/09/2019
RKE,143,0,30/09/2019
RJL,140,0.684783,30/09/2019
RXG,141,0,30/09/2019
RDD,143,0,30/09/2019
RTP,140,0,30/09/2019
RWE,142,0,30/09/2019
RW5,130,0,30/09/2019
RK5,141,0,30/09/2019
RKL,143,0,30/09/2019
RNL,140,1.445652,30/09/2019
RXP,141,0,30/09/2019
RDE,143,0,30/09/2019
RVV,140,4.48913,30/09/2019
RWP,142,0,30/09/2019
RW6,130,4.021739,30/09/2019
RKB,141,0,30/09/2019
RP4,143,0.01087,30/09/2019
RNN,140,0,30/09/2019
RY6,141,0,30/09/2019
RGM,143,0,30/09/2019
RW1,140,0,30/09/2019
RX1,142,0,30/09/2019
RWJ,130,6.315217,30/09/2019
RL1,141,0,30/09/2019
RP6,143,0,30/09/2019
RP5,140,3.402174,30/09/2019
TAD,141,0,30/09/2019
RGN,143,0,30/09/2019
RWF,140,0,30/09/2019
RXK,142,0,30/09/2019
RWW,130,8.478261,30/09/2019
RL4,141,0,30/09/2019
RPG,143,0,30/09/2019
RR7,140,0,30/09/2019
TAH,141,0,30/09/2019
RGP,143,0,30/09/2019
RWX,140,0,30/09/2019
RXM,142,0,30/09/2019
RXA,130,0,30/09/2019
RLQ,141,0,30/09/2019
RPY,143,0,30/09/2019
RR8,140,3.880435,30/09/2019
R1H,142,3.456522,30/09/2019
RGR,143,0,30/09/2019
RX2,140,0,30/09/2019
RXT,142,0,30/09/2019
RXL,130,4.782609,30/09/2019
RLT,141,0,30/09/2019
RQM,143,0,30/09/2019
RTD,140,0,30/09/2019
R1K,142,0,30/09/2019
RGT,143,0.021739,30/09/2019
RXC,140,0,30/09/2019
RXW,142,0,30/09/2019
RXN,130,4.141304,30/09/2019
RLY,141,0,30/09/2019
RQX,143,0,30/09/2019
RTF,140,1.23913,30/09/2019
RAL,142,0,30/09/2019
RM1,143,0,30/09/2019
RXH,140,0.847826,30/09/2019
RY5,142,0,30/09/2019
RXR,130,10.619565,30/09/2019
RNA,141,0,30/09/2019
RQY,143,0,30/09/2019
RTR,140,3.597826,30/09/2019
RAN,142,0,30/09/2019
RMY,143,0,30/09/2019
RXQ,140,0,30/09/2019
RY8,142,0,30/09/2019
R0B,130,0,30/09/2019
RNQ,141,0,30/09/2019
RRP,143,0,30/09/2019
RV9,140,0,30/09/2019
RAP,142,0,30/09/2019
RQ8,143,0,30/09/2019
RXX,140,0,30/09/2019
RYG,142,0,30/09/2019
RAE,130,5.880435,30/09/2019
RNS,141,0,30/09/2019
RRV,143,0,30/09/2019
RVW,140,0,30/09/2019
RAS,142,0.630435,30/09/2019
RQW,143,0,30/09/2019
RXY,140,0,30/09/2019
RYK,142,0,30/09/2019
RCB,130,12.163043,30/09/2019
RP1,141,0,30/09/2019
RT3,143,0,30/09/2019
RWA,140,0.021739,30/09/2019
RAT,142,0,30/09/2019
RT1,143,0,30/09/2019
RYR,140,0,30/09/2019
RYW,142,0.01087,30/09/2019
RCD,130,5.706522,30/09/2019
RP7,141,0,30/09/2019
RV3,143,0,30/09/2019
RWY,140,0,30/09/2019
RAX,142,0,30/09/2019
RWG,143,0,30/09/2019
R1A,140,0,30/09/2019
TAJ,142,0,30/09/2019
RCF,130,0.73913,30/09/2019
RQ3,141,0,30/09/2019
RVR,143,0.217391,30/09/2019
RX3,140,0,30/09/2019
RF4,142,0,30/09/2019
RWH,143,0,30/09/2019
RBK,140,0.119565,30/09/2019
R1L,142,0,30/09/2019
RCU,130,0.293478,30/09/2019
RRE,141,0,30/09/2019
RWK,143,0,30/09/2019
RX4,140,0,30/09/2019
RJ1,142,3.293478,30/09/2019
RWR,143,0,30/09/2019
RFS,140,0,30/09/2019
RAJ,142,0,30/09/2019
RFF,130,0.478261,30/09/2019
RRJ,141,0,30/09/2019
RYJ,143,0,30/09/2019
RXE,140,0,30/09/2019
RJ2,142,0,30/09/2019
RY3,143,0,30/09/2019
RHA,140,0,30/09/2019
RC1,142,0,30/09/2019
RFR,130,4.913043,30/09/2019
RRK,141,0,30/09/2019
RYX,143,0,30/09/2019
RXF,140,8.271739,30/09/2019
RJ6,142,0,30/09/2019
R0A,143,0,30/09/2019
RJC,140,0,30/09/2019
RC9,142,0,30/09/2019
RGD,130,0,30/09/2019
RTG,141,0,30/09/2019
TAF,143,0,30/09/2019
RXG,140,0,30/09/2019
RJ7,142,0.956522,30/09/2019
RBL,143,0,30/09/2019
RJE,140,8.347826,30/09/2019
RCX,142,0,30/09/2019
RHQ,130,16.684783,30/09/2019
RWD,141,0,30/09/2019
R1J,143,0,30/09/2019
RXP,140,4.847826,30/09/2019
RJZ,142,4.586957,30/09/2019
RBN,143,0,30/09/2019
RK5,140,0,30/09/2019
RD8,142,0,30/09/2019
RJL,130,5.478261,30/09/2019
RWE,141,0,30/09/2019
RA3,143,0,30/09/2019
RY6,140,0,30/09/2019
RKE,142,0,30/09/2019
RBQ,143,0,30/09/2019
RKB,140,0.076087,30/09/2019
RDD,142,0,30/09/2019
RNL,130,7.782609,30/09/2019
RWP,141,0,30/09/2019
RA4,143,0,30/09/2019
TAD,140,0,30/09/2019
RKL,142,0,30/09/2019
RBS,143,0,30/09/2019
RL1,140,0,30/09/2019
RDE,142,0,30/09/2019
RNN,130,0,30/09/2019
RX1,141,0,30/09/2019
RA7,143,0,30/09/2019
TAH,140,0,30/09/2019
RP4,142,0.271739,30/09/2019
RBT,143,0,30/09/2019
RL4,140,3.815217,30/09/2019
RGM,142,0,30/09/2019
RP5,130,25,30/09/2019
RXK,141,0,30/09/2019
RA9,143,0,30/09/2019
RPY,330,0,30/09/2019
RP6,142,0,30/09/2019
RBV,143,0,30/09/2019
RLQ,140,0.141304,30/09/2019
RGN,142,0,30/09/2019
RR7,130,0,30/09/2019
RXM,141,0,30/09/2019
RBA,143,0,30/09/2019
RQM,330,0.706522,30/09/2019
RPG,142,0,30/09/2019
REM,143,0,30/09/2019
RLT,140,0.01087,30/09/2019
RGP,142,0,30/09/2019
RLY,325,0,30/09/2019
RBD,340,0.945652,30/09/2019
RXT,326,0,30/09/2019
RQX,330,0,30/09/2019
RGR,330,0,30/09/2019
REN,340,0,30/09/2019
RR8,321,0.326087,30/09/2019
R1H,326,0,30/09/2019
RNA,325,0,30/09/2019
RBZ,340,0.358696,30/09/2019
RXW,326,0,30/09/2019
RQY,330,0,30/09/2019
RGT,330,1.358696,30/09/2019
REP,340,0,30/09/2019
RTD,321,0.01087,30/09/2019
R1K,326,0,30/09/2019
RNQ,325,0,30/09/2019
RD1,340,0.152174,30/09/2019
RY5,326,0,30/09/2019
RRP,330,0,30/09/2019
RM1,330,5.076087,30/09/2019
RET,340,0,30/09/2019
RTF,321,0,30/09/2019
RAL,326,0,30/09/2019
RNS,325,0,30/09/2019
RD3,340,0,30/09/2019
RY8,326,0,30/09/2019
RRV,330,1.521739,30/09/2019
RMY,330,0,30/09/2019
RJN,340,0.369565,30/09/2019
RTR,321,0,30/09/2019
RAN,326,0,30/09/2019
RP1,325,0,30/09/2019
RDY,340,0,30/09/2019
RYG,326,0,30/09/2019
RT3,330,0,30/09/2019
RQ8,330,0,30/09/2019
RJR,340,0.032609,30/09/2019
RV9,321,0,30/09/2019
RAP,326,0,30/09/2019
RP7,325,0,30/09/2019
RDZ,340,0.228261,30/09/2019
RYK,326,0,30/09/2019
RV3,330,0,30/09/2019
RQW,330,0,30/09/2019
RM3,340,0,30/09/2019
RVW,321,0,30/09/2019
RAS,326,0,30/09/2019
RQ3,325,0,30/09/2019
REF,340,0.043478,30/09/2019
RYW,326,0,30/09/2019
RVR,330,0.021739,30/09/2019
RT1,330,0,30/09/2019
RMC,340,0,30/09/2019
RWA,321,0,30/09/2019
RAT,326,0,30/09/2019
RRE,325,0,30/09/2019
RH5,340,0,30/09/2019
TAJ,326,0,30/09/2019
RWK,330,0,30/09/2019
RWG,330,0,30/09/2019
RMP,340,0,30/09/2019
RWY,321,0,30/09/2019
RAX,326,0,30/09/2019
RRJ,325,0,30/09/2019
RH8,340,1.119565,30/09/2019
R1L,326,0,30/09/2019
RYJ,330,0.217391,30/09/2019
RWH,330,0,30/09/2019
RQ6,340,4.869565,30/09/2019
RX3,321,0,30/09/2019
RF4,326,0.01087,30/09/2019
RRK,325,0,30/09/2019
RJ8,340,0,30/09/2019
RAJ,326,0,30/09/2019
RYX,330,0,30/09/2019
RWR,330,0,30/09/2019
RRF,340,1.576087,30/09/2019
RX4,321,0,30/09/2019
RJ1,326,0,30/09/2019
RTG,325,0,30/09/2019
RK9,340,0.065217,30/09/2019
RC1,326,0,30/09/2019
TAF,330,0,30/09/2019
RY3,330,0,30/09/2019
RT2,340,0,30/09/2019
RXE,321,0,30/09/2019
RJ2,326,0,30/09/2019
RWD,325,0,30/09/2019
RN3,340,1.608696,30/09/2019
RC9,326,0,30/09/2019
R1J,330,0,30/09/2019
R0A,330,0,30/09/2019
RTV,340,0,30/09/2019
RXF,321,0,30/09/2019
RJ6,326,0,30/09/2019
RWE,325,0,30/09/2019
RNZ,340,0.043478,30/09/2019
RCX,326,0,30/09/2019
RA3,330,0,30/09/2019
RBL,330,0,30/09/2019
RTX,340,0,30/09/2019
RXG,321,0,30/09/2019
RJ7,326,0,30/09/2019
RWP,325,0,30/09/2019
RTE,340,0.902174,30/09/2019
