DATA_MONTH,DATA_LEVEL,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,CLUSTER_GROUP,BENCHMARK_GROUP,MAIN_STAFF_GROUP,STAFF_GROUP_1,FTE,HEADCOUNT
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,All staff groups,All staff groups,10389.24098,11910
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,All staff groups,5739.7597,6408
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - All grades,1330.75227,1389
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,14.50499,19
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Consultant,476.78182,500
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Core Training,92.4,94
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,97.0,97
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,103.0,103
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,1.84001,16
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,10.79545,14
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,523.53,534
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,HCHS doctors - Staff Grade,10.9,12
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,Midwives,199.3277,270
2009-09-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Acute,Acute - Teaching,Professionally qualified clinical staff,Nurses & health visitors,2904.96252,3301
