DATA_MONTH,DATA_LEVEL,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,SPECIALTY_GROUP,SPECIALTY,STAFF_GROUP_1,GRADE,FTE,HEADCOUNT
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Associate Specialist,Associate Specialist,3.925,4
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Consultant,Consultant,130.135,136
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Core Training,Core Training,17.59375,18
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,3.0,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Specialty Doctor,Specialty Doctor,4.0,4
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Anaesthetics,HCHS doctors - Specialty Registrar,Specialty Registrar,67.30375,71
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Consultant,Consultant,26.8,28
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Core Training,Core Training,40.13125,41
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Specialty Doctor,Specialty Doctor,0.7,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Anaesthetics group,Intensive care medicine,HCHS doctors - Specialty Registrar,Specialty Registrar,8.4875,9
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Clinical oncology,Clinical oncology,HCHS doctors - Consultant,Consultant,26.0643,28
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Clinical oncology,Clinical oncology,HCHS doctors - Core Training,Core Training,11.725,12
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Clinical oncology,Clinical oncology,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,7.925,8
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Clinical oncology,Clinical oncology,HCHS doctors - Specialty Registrar,Specialty Registrar,11.889,13
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Dental and maxillo-facial radiology,HCHS doctors - Consultant,Consultant,3.0,3
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Dental and maxillo-facial radiology,HCHS doctors - Core Training,Core Training,2.0,2
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Oral and maxillo-facial surgery,HCHS doctors - Associate Specialist,Associate Specialist,1.0,1
2026-04-30,Organisation,Y60,Midlands,QT1,Nottingham and Nottinghamshire,RX1,Nottingham University Hospitals NHS Trust,Dental group,Oral and maxillo-facial surgery,HCHS doctors - Consultant,Consultant,8.5,9
