region,year,sex,age_group,population
England,2022,male,0-4,1568276
England,2023,male,0-4,1555337
England,2024,male,0-4,1540171
England,2025,male,0-4,1521472
England,2026,male,0-4,1508746
England,2027,male,0-4,1491898
England,2028,male,0-4,1490485
England,2029,male,0-4,1490182
England,2030,male,0-4,1488855
England,2031,male,0-4,1487927
England,2032,male,0-4,1488055
England,2033,male,0-4,1489273
England,2034,male,0-4,1491432
England,2035,male,0-4,1494539
England,2036,male,0-4,1498652
England,2037,male,0-4,1503887
England,2038,male,0-4,1510189
England,2039,male,0-4,1517309
England,2040,male,0-4,1524979
England,2041,male,0-4,1532916
England,2042,male,0-4,1540787
England,2043,male,0-4,1548062
England,2044,male,0-4,1554247
England,2045,male,0-4,1559119
England,2046,male,0-4,1562539
England,2047,male,0-4,1564446
England,2022,male,5-9,1707638
England,2023,male,5-9,1699648
England,2024,male,5-9,1694182
England,2025,male,5-9,1676711
England,2026,male,5-9,1644272
England,2027,male,5-9,1623653
England,2028,male,5-9,1595148
England,2029,male,5-9,1569725
England,2030,male,5-9,1550955
England,2031,male,5-9,1540381
England,2032,male,5-9,1525638
England,2033,male,5-9,1525457
England,2034,male,5-9,1525487
England,2035,male,5-9,1524176
England,2036,male,5-9,1523266
England,2037,male,5-9,1523408
England,2038,male,5-9,1524635
England,2039,male,5-9,1526798
England,2040,male,5-9,1529909
England,2041,male,5-9,1534024
England,2042,male,5-9,1539258
England,2043,male,5-9,1545558
England,2044,male,5-9,1552669
England,2045,male,5-9,1560325
England,2046,male,5-9,1568253
England,2047,male,5-9,1576121
England,2022,male,10-14,1789255
England,2023,male,10-14,1798745
England,2024,male,10-14,1798882
England,2025,male,10-14,1788290
England,2026,male,10-14,1775086
England,2027,male,10-14,1753107
England,2028,male,10-14,1732765
England,2029,male,10-14,1718760
England,2030,male,10-14,1700796
England,2031,male,10-14,1669911
England,2032,male,10-14,1651064
England,2033,male,10-14,1623717
England,2034,male,10-14,1598667
England,2035,male,10-14,1579967
England,2036,male,10-14,1569441
England,2037,male,10-14,1554740
England,2038,male,10-14,1554583
England,2039,male,10-14,1554623
England,2040,male,10-14,1553322
England,2041,male,10-14,1552419
England,2042,male,10-14,1552567
England,2043,male,10-14,1553796
England,2044,male,10-14,1555962
England,2045,male,10-14,1559069
England,2046,male,10-14,1563178
England,2047,male,10-14,1568411
England,2022,male,15-19,1703618
England,2023,male,15-19,1761118
England,2024,male,15-19,1795141
England,2025,male,15-19,1814242
England,2026,male,15-19,1839596
England,2027,male,15-19,1859739
England,2028,male,15-19,1858787
England,2029,male,15-19,1851914
England,2030,male,15-19,1840809
England,2031,male,15-19,1828480
England,2032,male,15-19,1807546
England,2033,male,15-19,1787917
England,2034,male,15-19,1774167
