code,year,sex,age_group,population
E12000001,2022,male,0-4,68153
E12000001,2023,male,0-4,67167
E12000001,2024,male,0-4,66151
E12000001,2025,male,0-4,65355
E12000001,2026,male,0-4,64554
E12000001,2027,male,0-4,63613
E12000001,2028,male,0-4,63333
E12000001,2029,male,0-4,63084
E12000001,2030,male,0-4,62820
E12000001,2031,male,0-4,62558
E12000001,2032,male,0-4,62361
E12000001,2033,male,0-4,62221
E12000001,2034,male,0-4,62119
E12000001,2035,male,0-4,62064
E12000001,2036,male,0-4,62058
E12000001,2037,male,0-4,62108
E12000001,2038,male,0-4,62206
E12000001,2039,male,0-4,62340
E12000001,2040,male,0-4,62493
E12000001,2041,male,0-4,62649
E12000001,2042,male,0-4,62796
E12000001,2043,male,0-4,62912
E12000001,2044,male,0-4,62979
E12000001,2045,male,0-4,62990
E12000001,2046,male,0-4,62943
E12000001,2047,male,0-4,62838
E12000001,2022,male,5-9,77303
E12000001,2023,male,5-9,76553
E12000001,2024,male,5-9,75891
E12000001,2025,male,5-9,74735
E12000001,2026,male,5-9,73121
E12000001,2027,male,5-9,72034
E12000001,2028,male,5-9,70521
E12000001,2029,male,5-9,69137
E12000001,2030,male,5-9,68302
E12000001,2031,male,5-9,67549
E12000001,2032,male,5-9,66656
E12000001,2033,male,5-9,66414
E12000001,2034,male,5-9,66183
E12000001,2035,male,5-9,65928
E12000001,2036,male,5-9,65676
E12000001,2037,male,5-9,65489
E12000001,2038,male,5-9,65358
E12000001,2039,male,5-9,65268
E12000001,2040,male,5-9,65225
E12000001,2041,male,5-9,65231
E12000001,2042,male,5-9,65294
E12000001,2043,male,5-9,65406
E12000001,2044,male,5-9,65554
E12000001,2045,male,5-9,65722
E12000001,2046,male,5-9,65894
E12000001,2047,male,5-9,66057
E12000001,2022,male,10-14,80957
E12000001,2023,male,10-14,81649
E12000001,2024,male,10-14,82047
E12000001,2025,male,10-14,81579
E12000001,2026,male,10-14,80900
E12000001,2027,male,10-14,79973
E12000001,2028,male,10-14,78833
E12000001,2029,male,10-14,77886
E12000001,2030,male,10-14,76709
E12000001,2031,male,10-14,75120
E12000001,2032,male,10-14,74071
E12000001,2033,male,10-14,72578
E12000001,2034,male,10-14,71192
E12000001,2035,male,10-14,70342
E12000001,2036,male,10-14,69590
E12000001,2037,male,10-14,68698
E12000001,2038,male,10-14,68463
E12000001,2039,male,10-14,68238
E12000001,2040,male,10-14,67989
E12000001,2041,male,10-14,67743
E12000001,2042,male,10-14,67563
E12000001,2043,male,10-14,67439
E12000001,2044,male,10-14,67355
E12000001,2045,male,10-14,67319
E12000001,2046,male,10-14,67334
E12000001,2047,male,10-14,67405
E12000001,2022,male,15-19,79322
E12000001,2023,male,15-19,82063
E12000001,2024,male,15-19,83805
E12000001,2025,male,15-19,85195
E12000001,2026,male,15-19,86798
E12000001,2027,male,15-19,88030
E12000001,2028,male,15-19,88387
E12000001,2029,male,15-19,88571
E12000001,2030,male,15-19,88099
E12000001,2031,male,15-19,87448
E12000001,2032,male,15-19,86423
E12000001,2033,male,15-19,85238
E12000001,2034,male,15-19,84335
E12000001,2035,male,15-19,83197
E12000001,2036,male,15-19,81532
E12000001,2037,male,15-19,80400
E12000001,2038,male,15-19,78887
E12000001,2039,male,15-19,77476
E12000001,2040,male,15-19,76518
E12000001,2041,male,15-19,75762
E12000001,2042,male,15-19,74742
E12000001,2043,male,15-19,74510
E12000001,2044,male,15-19,74315
E12000001,2045,male,15-19,74076
E12000001,2046,male,15-19,73839
E12000001,2047,male,15-19,73670
E12000001,2022,male,20-24,84382
E12000001,2023,male,20-24,86960
E12000001,2024,male,20-24,89463
E12000001,2025,male,20-24,90937
E12000001,2026,male,20-24,92460
E12000001,2027,male,20-24,93873
E12000001,2028,male,20-24,95515
E12000001,2029,male,20-24,96643
E12000001,2030,male,20-24,98002
E12000001,2031,male,20-24,99648
E12000001,2032,male,20-24,100804
E12000001,2033,male,20-24,100980
E12000001,2034,male,20-24,100807
E12000001,2035,male,20-24,100133
E12000001,2036,male,20-24,99534
E12000001,2037,male,20-24,98547
E12000001,2038,male,20-24,97422
E12000001,2039,male,20-24,96479
E12000001,2040,male,20-24,95252
E12000001,2041,male,20-24,93586
E12000001,2042,male,20-24,92487
E12000001,2043,male,20-24,90865
E12000001,2044,male,20-24,89399
E12000001,2045,male,20-24,88395
E12000001,2046,male,20-24,87702
E12000001,2047,male,20-24,86877
E12000001,2022,male,25-29,80877
E12000001,2023,male,25-29,82622
E12000001,2024,male,25-29,83835
E12000001,2025,male,25-29,83283
E12000001,2026,male,25-29,82369
E12000001,2027,male,25-29,81318
E12000001,2028,male,25-29,81261
E12000001,2029,male,25-29,81826
E12000001,2030,male,25-29,82907
E12000001,2031,male,25-29,84326
E12000001,2032,male,25-29,85686
E12000001,2033,male,25-29,87141
E12000001,2034,male,25-29,88065
E12000001,2035,male,25-29,89153
E12000001,2036,male,25-29,90500
E12000001,2037,male,25-29,91516
E12000001,2038,male,25-29,91642
E12000001,2039,male,25-29,91549
E12000001,2040,male,25-29,91065
E12000001,2041,male,25-29,90535
E12000001,2042,male,25-29,89679
E12000001,2043,male,25-29,88762
E12000001,2044,male,25-29,88022
E12000001,2045,male,25-29,87079
E12000001,2046,male,25-29,85650
E12000001,2047,male,25-29,84721
E12000001,2022,male,30-34,83843
E12000001,2023,male,30-34,85686
E12000001,2024,male,30-34,87291
E12000001,2025,male,30-34,87972
E12000001,2026,male,30-34,87547
E12000001,2027,male,30-34,87389
E12000001,2028,male,30-34,87405
E12000001,2029,male,30-34,87472
E12000001,2030,male,30-34,87036
E12000001,2031,male,30-34,86487
E12000001,2032,male,30-34,85780
E12000001,2033,male,30-34,85891
E12000001,2034,male,30-34,86478
E12000001,2035,male,30-34,87529
E12000001,2036,male,30-34,88882
E12000001,2037,male,30-34,90194
E12000001,2038,male,30-34,91596
E12000001,2039,male,30-34,92483
E12000001,2040,male,30-34,93524
E12000001,2041,male,30-34,94830
E12000001,2042,male,30-34,95834
E12000001,2043,male,30-34,95944
E12000001,2044,male,30-34,95843
E12000001,2045,male,30-34,95382
E12000001,2046,male,30-34,94862
E12000001,2047,male,30-34,94024
E12000001,2022,male,35-39,82271
E12000001,2023,male,35-39,84742
E12000001,2024,male,35-39,86550
E12000001,2025,male,35-39,87465
E12000001,2026,male,35-39,88494
E12000001,2027,male,35-39,89788
E12000001,2028,male,35-39,90354
E12000001,2029,male,35-39,91034
E12000001,2030,male,35-39,91598
E12000001,2031,male,35-39,91302
E12000001,2032,male,35-39,91306
E12000001,2033,male,35-39,91452
E12000001,2034,male,35-39,91605
E12000001,2035,male,35-39,91271
E12000001,2036,male,35-39,90812
E12000001,2037,male,35-39,90182
E12000001,2038,male,35-39,90338
E12000001,2039,male,35-39,90947
E12000001,2040,male,35-39,92009
E12000001,2041,male,35-39,93349
E12000001,2042,male,35-39,94656
E12000001,2043,male,35-39,96056
E12000001,2044,male,35-39,96936
E12000001,2045,male,35-39,97969
