code,year,sex,age_group,population
E38000240,2022,male,0-4,41417
E38000240,2023,male,0-4,41345
E38000240,2024,male,0-4,41458
E38000240,2025,male,0-4,41125
E38000240,2026,male,0-4,40872
E38000240,2027,male,0-4,40447
E38000240,2028,male,0-4,40457
E38000240,2029,male,0-4,40499
E38000240,2030,male,0-4,40494
E38000240,2031,male,0-4,40524
E38000240,2032,male,0-4,40617
E38000240,2033,male,0-4,40753
E38000240,2034,male,0-4,40924
E38000240,2035,male,0-4,41118
E38000240,2036,male,0-4,41332
E38000240,2037,male,0-4,41568
E38000240,2038,male,0-4,41822
E38000240,2039,male,0-4,42089
E38000240,2040,male,0-4,42366
E38000240,2041,male,0-4,42648
E38000240,2042,male,0-4,42931
E38000240,2043,male,0-4,43204
E38000240,2044,male,0-4,43455
E38000240,2045,male,0-4,43680
E38000240,2046,male,0-4,43874
E38000240,2047,male,0-4,44034
E38000240,2022,male,5-9,41369
E38000240,2023,male,5-9,41622
E38000240,2024,male,5-9,41396
E38000240,2025,male,5-9,40947
E38000240,2026,male,5-9,40128
E38000240,2027,male,5-9,39628
E38000240,2028,male,5-9,38875
E38000240,2029,male,5-9,38476
E38000240,2030,male,5-9,38191
E38000240,2031,male,5-9,38084
E38000240,2032,male,5-9,37795
E38000240,2033,male,5-9,37866
E38000240,2034,male,5-9,37921
E38000240,2035,male,5-9,37916
E38000240,2036,male,5-9,37940
E38000240,2037,male,5-9,38018
E38000240,2038,male,5-9,38133
E38000240,2039,male,5-9,38278
E38000240,2040,male,5-9,38444
E38000240,2041,male,5-9,38627
E38000240,2042,male,5-9,38830
E38000240,2043,male,5-9,39049
E38000240,2044,male,5-9,39281
E38000240,2045,male,5-9,39521
E38000240,2046,male,5-9,39766
E38000240,2047,male,5-9,40012
E38000240,2022,male,10-14,44073
E38000240,2023,male,10-14,43707
E38000240,2024,male,10-14,43199
E38000240,2025,male,10-14,42358
E38000240,2026,male,10-14,41549
E38000240,2027,male,10-14,40708
E38000240,2028,male,10-14,40317
E38000240,2029,male,10-14,39733
E38000240,2030,male,10-14,39294
E38000240,2031,male,10-14,38608
E38000240,2032,male,10-14,38251
E38000240,2033,male,10-14,37638
E38000240,2034,male,10-14,37284
E38000240,2035,male,10-14,37031
E38000240,2036,male,10-14,36942
E38000240,2037,male,10-14,36670
E38000240,2038,male,10-14,36737
E38000240,2039,male,10-14,36790
E38000240,2040,male,10-14,36786
E38000240,2041,male,10-14,36806
E38000240,2042,male,10-14,36877
E38000240,2043,male,10-14,36982
E38000240,2044,male,10-14,37114
E38000240,2045,male,10-14,37264
E38000240,2046,male,10-14,37431
E38000240,2047,male,10-14,37617
E38000240,2022,male,15-19,43295
E38000240,2023,male,15-19,45053
