code,label,group
E38000240,NHS North Central London ICB - 93C,NHS North Central London ICB
E38000244,NHS South East London ICB - 72Q,NHS South East London ICB
E38000245,NHS South West London ICB - 36L,NHS South West London ICB
E38000255,NHS North East London ICB - A3A8R,NHS North East London ICB
E38000256,NHS North West London ICB - W2U3Z,NHS North West London ICB
E38000021,NHS Sussex ICB - 09D,NHS Sussex ICB
E38000136,"NHS Buckinghamshire, Oxfordshire and Berkshire W (E38000136)","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB"
E38000137,NHS Hampshire and Isle of Wight ICB - 10R,NHS Hampshire and Isle of Wight ICB
E38000221,"NHS Buckinghamshire, Oxfordshire and Berkshire W (E38000221)","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB"
E38000223,"NHS Buckinghamshire, Oxfordshire and Berkshire W (E38000223)","NHS Buckinghamshire, Oxfordshire and Berkshire West ICB"
E38000235,NHS Sussex ICB - 97R,NHS Sussex ICB
E38000237,NHS Kent and Medway ICB - 91Q,NHS Kent and Medway ICB
E38000252,NHS Frimley ICB - D4U1Y,NHS Frimley ICB
E38000253,NHS Hampshire and Isle of Wight ICB - D9Y0V,NHS Hampshire and Isle of Wight ICB
E38000264,NHS Surrey Heartlands ICB - 92A,NHS Surrey Heartlands ICB
E38000265,NHS Sussex ICB - 70F,NHS Sussex ICB
E38000045,NHS Dorset ICB - 11J,NHS Dorset ICB
E38000062,NHS Gloucestershire ICB - 11M,NHS Gloucestershire ICB
E38000089,NHS Cornwall and the Isles of Scilly ICB - 11N,NHS Cornwall and the Isles of Scilly ICB
E38000150,NHS Somerset ICB - 11X,NHS Somerset ICB
E38000222,"NHS Bristol, North Somerset and South Gloucester","NHS Bristol, North Somerset and South Gloucestershire ICB"
E38000230,NHS Devon ICB - 15N,NHS Devon ICB
E38000231,"NHS Bath and North East Somerset, Swindon and Wi","NHS Bath and North East Somerset, Swindon and Wiltshire ICB"
E38000008,NHS Nottingham and Nottinghamshire ICB - 02Q,NHS Nottingham and Nottinghamshire ICB
E38000028,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,NHS Staffordshire and Stoke-on-Trent ICB
E38000051,"NHS Leicester, Leicestershire and Rutland ICB - (E38000051)","NHS Leicester, Leicestershire and Rutland ICB"
E38000053,NHS Staffordshire and Stoke-on-Trent ICB - 05D,NHS Staffordshire and Stoke-on-Trent ICB
E38000097,"NHS Leicester, Leicestershire and Rutland ICB - (E38000097)","NHS Leicester, Leicestershire and Rutland ICB"
E38000126,NHS Staffordshire and Stoke-on-Trent ICB - 05G,NHS Staffordshire and Stoke-on-Trent ICB
E38000153,NHS Staffordshire and Stoke-on-Trent ICB - 05Q,NHS Staffordshire and Stoke-on-Trent ICB
E38000173,NHS Staffordshire and Stoke-on-Trent ICB - 05V,NHS Staffordshire and Stoke-on-Trent ICB
E38000175,NHS Staffordshire and Stoke-on-Trent ICB - 05W,NHS Staffordshire and Stoke-on-Trent ICB
E38000201,"NHS Leicester, Leicestershire and Rutland ICB - (E38000201)","NHS Leicester, Leicestershire and Rutland ICB"
E38000236,NHS Herefordshire and Worcestershire ICB - 18C,NHS Herefordshire and Worcestershire ICB
E38000238,NHS Lincolnshire ICB - 71E,NHS Lincolnshire ICB
E38000243,NHS Nottingham and Nottinghamshire ICB - 52R,NHS Nottingham and Nottinghamshire ICB
E38000251,NHS Coventry and Warwickshire ICB - B2M3M,NHS Coventry and Warwickshire ICB
E38000257,"NHS Shropshire, Telford and Wrekin ICB - M2L0M","NHS Shropshire, Telford and Wrekin ICB"
E38000258,NHS Birmingham and Solihull ICB - 15E,NHS Birmingham and Solihull ICB
E38000259,NHS Black Country ICB - D2P2L,NHS Black Country ICB
E38000261,NHS Derby and Derbyshire ICB - 15M,NHS Derby and Derbyshire ICB
E38000262,NHS Northamptonshire ICB - 78H,NHS Northamptonshire ICB
E38000006,NHS South Yorkshire ICB - 02P,NHS South Yorkshire ICB
E38000025,NHS West Yorkshire ICB - 02T,NHS West Yorkshire ICB
E38000044,NHS South Yorkshire ICB - 02X,NHS South Yorkshire ICB
E38000052,NHS Humber and North Yorkshire ICB - 02Y,NHS Humber and North Yorkshire ICB
E38000085,NHS Humber and North Yorkshire ICB - 03F,NHS Humber and North Yorkshire ICB
E38000119,NHS Humber and North Yorkshire ICB - 03H,NHS Humber and North Yorkshire ICB
E38000122,NHS Humber and North Yorkshire ICB - 03K,NHS Humber and North Yorkshire ICB
E38000127,NHS North East and North Cumbria ICB - 99C,NHS North East and North Cumbria ICB
E38000130,NHS North East and North Cumbria ICB - 00L,NHS North East and North Cumbria ICB
E38000141,NHS South Yorkshire ICB - 03L,NHS South Yorkshire ICB
E38000146,NHS South Yorkshire ICB - 03N,NHS South Yorkshire ICB
E38000163,NHS North East and North Cumbria ICB - 00N,NHS North East and North Cumbria ICB
E38000176,NHS North East and North Cumbria ICB - 00P,NHS North East and North Cumbria ICB
E38000188,NHS Humber and North Yorkshire ICB - 03Q,NHS Humber and North Yorkshire ICB
E38000190,NHS West Yorkshire ICB - 03R,NHS West Yorkshire ICB
E38000212,NHS North East and North Cumbria ICB - 13T,NHS North East and North Cumbria ICB
E38000215,NHS North East and North Cumbria ICB - 01H,NHS North East and North Cumbria ICB
E38000225,NHS West Yorkshire ICB - 15F,NHS West Yorkshire ICB
